latitude,longitude,temperatura,umidade,altitude,local
-23.5505,-46.6333,32.5,62,760,Centro
-23.5489,-46.6388,28.2,68,810,Ibirapuera
-23.5558,-46.6396,35.1,45,820,Paulista
-23.5629,-46.6544,30.8,58,800,Vila Madalena
-23.5475,-46.6361,29.4,60,790,Liberdade
-23.5533,-46.6417,33.7,52,815,Bela Vista
-23.5518,-46.6288,33.8,58,731,Centro
-23.5592,-46.644,34.9,58,842,Paulista
-23.5677,-46.6497,34.7,50,736,Vila Madalena
-23.5657,-46.7062,32.0,55,758,Pinheiros
-23.5509,-46.6601,30.0,53,791,Consolação
-23.5632,-46.7108,31.9,58,709,Largo Batata
-23.5604,-46.6602,28.1,65,893,Av Paulista
-23.5475,-46.6362,28.3,60,788,Pátio do Colégio
-23.5921,-46.6579,27.8,64,752,Parque Ibirapuera
-22.9052,-43.1748,31.0,73,133,Centro
-22.9782,-43.1835,34.7,79,421,Copacabana
-22.9885,-43.2067,28.2,63,231,Ipanema
-23.0057,-43.2303,33.7,69,200,Leblon
-23.024,-43.3717,33.5,63,691,Barra da Tijuca
-22.9424,-43.1987,26.5,78,496,Botafogo
-22.9288,-43.1767,27.1,69,86,Flamengo
-22.8793,-43.0964,29.4,63,221,Niterói
-22.9919,-43.2327,32.0,79,333,Gávea
-22.9557,-43.1907,33.1,73,541,Cristo Redentor
-21.7627,-43.3521,28.7,58,415,Centro
-21.7597,-43.3436,27.8,68,895,Bom Jardim
-21.7725,-43.3409,31.5,62,396,Poço Rico
-21.7771,-43.3634,32.9,74,730,Benfica
-21.7643,-43.352,26.7,75,674,Santa Cecília
-21.7599,-43.366,27.8,60,487,Passos
-21.7557,-43.3318,32.3,58,656,Represa
-21.7708,-43.3678,26.2,64,916,Arboleda
-21.7598,-43.3478,31.0,65,933,Vila Ideal
-21.7674,-43.3545,29.3,64,521,Linhares
-21.7686,-43.3569,29.4,59,517,Teixeiras
-21.7519,-43.3446,26.4,67,941,Distrito de Soberbo
